?SNDlib native format; type: network; version: 1.0
# network demandMatrix-5min-20040811-0900-abilene

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20040811-0900
  unit  = MBITPERSEC
  origin  = Yin Zhang, http://userweb.cs.utexas.edu/~yzhang/research/AbileneTM/
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  ATLAM5 ( -84.3833 33.75 )
  ATLAng ( -85.50 34.50 )
  CHINng ( -87.6167 41.8333 )
  DNVRng ( -105.00 40.75 )
  HSTNng ( -95.517364 29.770031 )
  IPLSng ( -86.159535 39.780622 )
  KSCYng ( -96.596704 38.961694 )
  LOSAng ( -118.25 34.05 )
  NYCMng ( -73.9667 40.7833 )
  SNVAng ( -122.02553 37.38575 )
  STTLng ( -122.30 47.60 )
  WASHng ( -77.026842 38.897303 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  ATLAM5_CHINng ( ATLAM5 CHINng ) 1 0.450256 UNLIMITED
  ATLAM5_HSTNng ( ATLAM5 HSTNng ) 1 0.122048 UNLIMITED
  ATLAM5_IPLSng ( ATLAM5 IPLSng ) 1 0.053333 UNLIMITED
  ATLAM5_LOSAng ( ATLAM5 LOSAng ) 1 0.994661 UNLIMITED
  ATLAM5_NYCMng ( ATLAM5 NYCMng ) 1 0.026667 UNLIMITED
  ATLAM5_STTLng ( ATLAM5 STTLng ) 1 0.063467 UNLIMITED
  ATLAM5_WASHng ( ATLAM5 WASHng ) 1 0.181656 UNLIMITED
  ATLAng_ATLAM5 ( ATLAng ATLAM5 ) 1 0.062568 UNLIMITED
  ATLAng_CHINng ( ATLAng CHINng ) 1 5.791824 UNLIMITED
  ATLAng_DNVRng ( ATLAng DNVRng ) 1 9.184877 UNLIMITED
  ATLAng_HSTNng ( ATLAng HSTNng ) 1 0.790309 UNLIMITED
  ATLAng_IPLSng ( ATLAng IPLSng ) 1 16.384323 UNLIMITED
  ATLAng_KSCYng ( ATLAng KSCYng ) 1 6.70972 UNLIMITED
  ATLAng_LOSAng ( ATLAng LOSAng ) 1 10.223392 UNLIMITED
  ATLAng_NYCMng ( ATLAng NYCMng ) 1 3.662733 UNLIMITED
  ATLAng_SNVAng ( ATLAng SNVAng ) 1 0.073899 UNLIMITED
  ATLAng_STTLng ( ATLAng STTLng ) 1 9.253312 UNLIMITED
  ATLAng_WASHng ( ATLAng WASHng ) 1 29.807413 UNLIMITED
  CHINng_ATLAM5 ( CHINng ATLAM5 ) 1 0.345475 UNLIMITED
  CHINng_ATLAng ( CHINng ATLAng ) 1 8.035608 UNLIMITED
  CHINng_DNVRng ( CHINng DNVRng ) 1 9.447296 UNLIMITED
  CHINng_HSTNng ( CHINng HSTNng ) 1 8.979603 UNLIMITED
  CHINng_IPLSng ( CHINng IPLSng ) 1 5.987904 UNLIMITED
  CHINng_KSCYng ( CHINng KSCYng ) 1 8.886667 UNLIMITED
  CHINng_LOSAng ( CHINng LOSAng ) 1 37.935027 UNLIMITED
  CHINng_NYCMng ( CHINng NYCMng ) 1 9.967509 UNLIMITED
  CHINng_SNVAng ( CHINng SNVAng ) 1 0.6778 UNLIMITED
  CHINng_STTLng ( CHINng STTLng ) 1 8.371869 UNLIMITED
  CHINng_WASHng ( CHINng WASHng ) 1 23.273811 UNLIMITED
  DNVRng_ATLAM5 ( DNVRng ATLAM5 ) 1 0.14096 UNLIMITED
  DNVRng_ATLAng ( DNVRng ATLAng ) 1 5.538387 UNLIMITED
  DNVRng_CHINng ( DNVRng CHINng ) 1 88.611733 UNLIMITED
  DNVRng_HSTNng ( DNVRng HSTNng ) 1 18.494763 UNLIMITED
  DNVRng_IPLSng ( DNVRng IPLSng ) 1 17.196323 UNLIMITED
  DNVRng_KSCYng ( DNVRng KSCYng ) 1 17.657984 UNLIMITED
  DNVRng_LOSAng ( DNVRng LOSAng ) 1 8.27268 UNLIMITED
  DNVRng_NYCMng ( DNVRng NYCMng ) 1 10.014141 UNLIMITED
  DNVRng_SNVAng ( DNVRng SNVAng ) 1 6.276712 UNLIMITED
  DNVRng_STTLng ( DNVRng STTLng ) 1 19.543216 UNLIMITED
  DNVRng_WASHng ( DNVRng WASHng ) 1 34.282973 UNLIMITED
  HSTNng_ATLAM5 ( HSTNng ATLAM5 ) 1 3.045533 UNLIMITED
  HSTNng_ATLAng ( HSTNng ATLAng ) 1 0.673488 UNLIMITED
  HSTNng_CHINng ( HSTNng CHINng ) 1 10.998496 UNLIMITED
  HSTNng_DNVRng ( HSTNng DNVRng ) 1 1.859504 UNLIMITED
  HSTNng_IPLSng ( HSTNng IPLSng ) 1 0.937941 UNLIMITED
  HSTNng_KSCYng ( HSTNng KSCYng ) 1 0.97624 UNLIMITED
  HSTNng_LOSAng ( HSTNng LOSAng ) 1 2.487944 UNLIMITED
  HSTNng_NYCMng ( HSTNng NYCMng ) 1 4.403325 UNLIMITED
  HSTNng_STTLng ( HSTNng STTLng ) 1 0.681965 UNLIMITED
  HSTNng_WASHng ( HSTNng WASHng ) 1 23.790725 UNLIMITED
  IPLSng_ATLAM5 ( IPLSng ATLAM5 ) 1 0.041653 UNLIMITED
  IPLSng_ATLAng ( IPLSng ATLAng ) 1 3.728333 UNLIMITED
  IPLSng_CHINng ( IPLSng CHINng ) 1 60.583987 UNLIMITED
  IPLSng_DNVRng ( IPLSng DNVRng ) 1 9.875571 UNLIMITED
  IPLSng_HSTNng ( IPLSng HSTNng ) 1 1.867957 UNLIMITED
  IPLSng_KSCYng ( IPLSng KSCYng ) 1 6.709917 UNLIMITED
  IPLSng_LOSAng ( IPLSng LOSAng ) 1 12.254843 UNLIMITED
  IPLSng_NYCMng ( IPLSng NYCMng ) 1 6.46284 UNLIMITED
  IPLSng_SNVAng ( IPLSng SNVAng ) 1 0.300421 UNLIMITED
  IPLSng_STTLng ( IPLSng STTLng ) 1 10.95072 UNLIMITED
  IPLSng_WASHng ( IPLSng WASHng ) 1 9.964261 UNLIMITED
  KSCYng_ATLAng ( KSCYng ATLAng ) 1 1.644725 UNLIMITED
  KSCYng_CHINng ( KSCYng CHINng ) 1 10.642341 UNLIMITED
  KSCYng_DNVRng ( KSCYng DNVRng ) 1 4.57244 UNLIMITED
  KSCYng_HSTNng ( KSCYng HSTNng ) 1 4.11296 UNLIMITED
  KSCYng_IPLSng ( KSCYng IPLSng ) 1 15.582397 UNLIMITED
  KSCYng_LOSAng ( KSCYng LOSAng ) 1 5.502549 UNLIMITED
  KSCYng_NYCMng ( KSCYng NYCMng ) 1 5.070813 UNLIMITED
  KSCYng_SNVAng ( KSCYng SNVAng ) 1 2.707365 UNLIMITED
  KSCYng_STTLng ( KSCYng STTLng ) 1 4.5364 UNLIMITED
  KSCYng_WASHng ( KSCYng WASHng ) 1 6.323608 UNLIMITED
  LOSAng_ATLAM5 ( LOSAng ATLAM5 ) 1 0.058267 UNLIMITED
  LOSAng_ATLAng ( LOSAng ATLAng ) 1 6.028848 UNLIMITED
  LOSAng_CHINng ( LOSAng CHINng ) 1 106.749808 UNLIMITED
  LOSAng_DNVRng ( LOSAng DNVRng ) 1 5.948936 UNLIMITED
  LOSAng_HSTNng ( LOSAng HSTNng ) 1 3.392656 UNLIMITED
  LOSAng_IPLSng ( LOSAng IPLSng ) 1 6.37476 UNLIMITED
  LOSAng_KSCYng ( LOSAng KSCYng ) 1 1.220651 UNLIMITED
  LOSAng_NYCMng ( LOSAng NYCMng ) 1 26.588072 UNLIMITED
  LOSAng_SNVAng ( LOSAng SNVAng ) 1 17.074173 UNLIMITED
  LOSAng_STTLng ( LOSAng STTLng ) 1 19.898829 UNLIMITED
  LOSAng_WASHng ( LOSAng WASHng ) 1 69.528432 UNLIMITED
  NYCMng_ATLAM5 ( NYCMng ATLAM5 ) 1 0.152264 UNLIMITED
  NYCMng_ATLAng ( NYCMng ATLAng ) 1 7.437619 UNLIMITED
  NYCMng_CHINng ( NYCMng CHINng ) 1 20.314317 UNLIMITED
  NYCMng_DNVRng ( NYCMng DNVRng ) 1 21.586421 UNLIMITED
  NYCMng_HSTNng ( NYCMng HSTNng ) 1 6.3596 UNLIMITED
  NYCMng_IPLSng ( NYCMng IPLSng ) 1 10.975781 UNLIMITED
  NYCMng_KSCYng ( NYCMng KSCYng ) 1 2.424576 UNLIMITED
  NYCMng_LOSAng ( NYCMng LOSAng ) 1 68.853261 UNLIMITED
  NYCMng_SNVAng ( NYCMng SNVAng ) 1 2.084957 UNLIMITED
  NYCMng_STTLng ( NYCMng STTLng ) 1 27.624885 UNLIMITED
  NYCMng_WASHng ( NYCMng WASHng ) 1 81.109747 UNLIMITED
  SNVAng_ATLAM5 ( SNVAng ATLAM5 ) 1 0.026667 UNLIMITED
  SNVAng_CHINng ( SNVAng CHINng ) 1 0.026667 UNLIMITED
  SNVAng_DNVRng ( SNVAng DNVRng ) 1 2.869445 UNLIMITED
  SNVAng_IPLSng ( SNVAng IPLSng ) 1 0.158891 UNLIMITED
  SNVAng_KSCYng ( SNVAng KSCYng ) 1 0.026667 UNLIMITED
  SNVAng_LOSAng ( SNVAng LOSAng ) 1 33.23644 UNLIMITED
  SNVAng_NYCMng ( SNVAng NYCMng ) 1 0.497461 UNLIMITED
  SNVAng_STTLng ( SNVAng STTLng ) 1 38.997787 UNLIMITED
  SNVAng_WASHng ( SNVAng WASHng ) 1 0.026667 UNLIMITED
  STTLng_ATLAM5 ( STTLng ATLAM5 ) 1 0.258792 UNLIMITED
  STTLng_ATLAng ( STTLng ATLAng ) 1 5.57004 UNLIMITED
  STTLng_CHINng ( STTLng CHINng ) 1 19.158181 UNLIMITED
  STTLng_DNVRng ( STTLng DNVRng ) 1 2.757877 UNLIMITED
  STTLng_HSTNng ( STTLng HSTNng ) 1 0.711107 UNLIMITED
  STTLng_IPLSng ( STTLng IPLSng ) 1 8.170944 UNLIMITED
  STTLng_KSCYng ( STTLng KSCYng ) 1 1.367619 UNLIMITED
  STTLng_LOSAng ( STTLng LOSAng ) 1 25.117587 UNLIMITED
  STTLng_NYCMng ( STTLng NYCMng ) 1 7.05036 UNLIMITED
  STTLng_SNVAng ( STTLng SNVAng ) 1 12.481515 UNLIMITED
  STTLng_WASHng ( STTLng WASHng ) 1 4.903733 UNLIMITED
  WASHng_ATLAM5 ( WASHng ATLAM5 ) 1 0.412659 UNLIMITED
  WASHng_ATLAng ( WASHng ATLAng ) 1 143.971493 UNLIMITED
  WASHng_CHINng ( WASHng CHINng ) 1 74.557792 UNLIMITED
  WASHng_DNVRng ( WASHng DNVRng ) 1 48.653747 UNLIMITED
  WASHng_HSTNng ( WASHng HSTNng ) 1 11.750051 UNLIMITED
